year,rate,Norm
1960,51.109,0.387189394
1975,51.092,0.387060606
1985,51.084,0.387
1962,51.082,0.386984848
1962,51.043,0.386689394
1961,51.041,0.386674242
1971,51.033,0.386613636
1984,51.016,0.386484848
1976,50.967,0.386113636
1963,50.961,0.386068182
1965,50.957,0.386037879
1976,50.953,0.386007576
1983,50.951,0.385992424
1963,50.931,0.385840909
1987,50.926,0.38580303
2000,50.903,0.385628788
1970,50.901,0.385613636
1969,50.897,0.385583333
1982,50.888,0.385515152
1964,50.875,0.385416667
1977,50.871,0.385386364
1981,50.833,0.385098485
1964,50.831,0.385083333
1971,50.829,0.385068182
1964,50.825,0.385037879
1965,50.813,0.38494697
1978,50.81,0.384924242
1963,50.81,0.384924242
1968,50.808,0.384909091
1980,50.795,0.384810606
1979,50.786,0.384742424
1974,50.78,0.38469697
1975,50.768,0.384606061
1972,50.765,0.384583333
1966,50.764,0.384575758
1971,50.762,0.384560606
1965,50.738,0.384378788
1970,50.733,0.384340909
1973,50.728,0.38430303
1966,50.723,0.384265152
1967,50.716,0.384212121
1972,50.699,0.384083333
1960,50.698,0.384075758
1985,50.698,0.384075758
1969,50.696,0.384060606
1965,50.69,0.384015152
1961,50.688,0.384
1973,50.688,0.384
1966,50.683,0.383962121
1968,50.667,0.383840909
1962,50.667,0.383840909
1968,50.662,0.38380303
1967,50.66,0.383787879
1988,50.657,0.383765152
1960,50.645,0.383674242
1974,50.643,0.383659091
1967,50.636,0.383606061
1969,50.597,0.383310606
1972,50.596,0.38330303
1961,50.584,0.383212121
1961,50.55,0.382954545
1970,50.545,0.382916667
1971,50.542,0.382893939
1983,50.535,0.382840909
1976,50.529,0.382795455
1973,50.527,0.382780303
1995,50.522,0.382742424
1975,50.51,0.382651515
2001,50.486,0.382469697
1977,50.485,0.382462121
1962,50.461,0.382280303
1960,50.456,0.382242424
1976,50.442,0.382136364
1962,50.427,0.382022727
1967,50.414,0.381924242
1961,50.405,0.381856061
1960,50.4,0.381818182
1966,50.392,0.381757576
1963,50.377,0.381643939
1989,50.369,0.381583333
1961,50.355,0.381477273
1976,50.337,0.381340909
1966,50.329,0.381280303
1974,50.318,0.38119697
1961,50.307,0.381113636
1967,50.306,0.381106061
1972,50.298,0.381045455
1964,50.297,0.381037879
1962,50.283,0.380931818
1960,50.278,0.380893939
1991,50.25,0.380681818
1963,50.224,0.380484848
1965,50.222,0.380469697
1962,50.16,0.38
1966,50.154,0.379954545
1960,50.146,0.379893939
1977,50.135,0.379810606
1965,50.103,0.379568182
1967,50.088,0.379454545
1975,50.072,0.379333333
1990,50.052,0.379181818
1968,50.039,0.379083333
1968,50.021,0.37894697
1960,50.016,0.378909091
1977,49.999,0.378780303
2002,49.984,0.378666667
1964,49.98,0.378636364
1961,49.979,0.378628788
1963,49.948,0.378393939
1969,49.945,0.378371212
1978,49.943,0.378356061
1996,49.941,0.378340909
1961,49.935,0.378295455
1978,49.908,0.378090909
1970,49.852,0.377666667
1964,49.807,0.377325758
1976,49.782,0.377136364
1961,49.75,0.376893939
1971,49.736,0.376787879
1967,49.727,0.376719697
1965,49.711,0.376598485
1991,49.708,0.376575758
1962,49.704,0.376545455
1962,49.675,0.376325758
1964,49.671,0.376295455
1979,49.653,0.376159091
1969,49.606,0.37580303
1960,49.595,0.375719697
1972,49.591,0.375689394
1988,49.547,0.375356061
1960,49.534,0.375257576
1963,49.529,0.375219697
1968,49.509,0.375068182
1990,49.493,0.37494697
1969,49.49,0.374924242
1967,49.483,0.374871212
1989,49.473,0.374795455
1991,49.473,0.374795455
1963,49.456,0.374666667
1989,49.449,0.374613636
1973,49.445,0.374583333
1986,49.445,0.374583333
1977,49.445,0.374583333
1966,49.441,0.37455303
1963,49.431,0.374477273
1997,49.427,0.37444697
1988,49.426,0.374439394
1966,49.421,0.374401515
1970,49.419,0.374386364
2003,49.416,0.374363636
1973,49.411,0.374325758
1992,49.407,0.374295455
1961,49.405,0.374280303
1988,49.397,0.374219697
1963,49.383,0.374113636
1980,49.364,0.373969697
1987,49.364,0.373969697
1971,49.35,0.373863636
1992,49.35,0.373863636
1971,49.34,0.373787879
1965,49.339,0.373780303
1965,49.331,0.373719697
1979,49.329,0.373704545
1972,49.326,0.373681818
1962,49.299,0.373477273
1970,49.295,0.37344697
1962,49.294,0.373439394
1986,49.293,0.373431818
1993,49.293,0.373431818
1971,49.286,0.373378788
1962,49.281,0.373340909
1960,49.278,0.373318182
1987,49.27,0.373257576
1973,49.258,0.373166667
1961,49.23,0.372954545
1964,49.229,0.37294697
1964,49.222,0.372893939
1985,49.219,0.372871212
1963,49.214,0.372833333
1962,49.209,0.372795455
1963,49.2,0.372727273
1961,49.197,0.372704545
1967,49.195,0.372689394
1974,49.194,0.372681818
1967,49.189,0.372643939
1969,49.189,0.372643939
1978,49.176,0.372545455
1968,49.175,0.372537879
1962,49.173,0.372522727
1992,49.173,0.372522727
1964,49.172,0.372515152
1960,49.165,0.372462121
1966,49.156,0.372393939
1968,49.151,0.372356061
1964,49.145,0.372310606
1984,49.143,0.372295455
1974,49.142,0.372287879
1994,49.134,0.372227273
1965,49.128,0.372181818
1970,49.122,0.372136364
1963,49.11,0.372045455
1963,49.104,0.372
1969,49.097,0.37194697
1972,49.096,0.371939394
1965,49.086,0.371863636
1964,49.075,0.371780303
1966,49.071,0.37175
1983,49.063,0.371689394
1978,49.062,0.371681818
1965,49.061,0.371674242
1961,49.059,0.371659091
1964,49.04,0.371515152
1980,49.038,0.3715
1981,49.034,0.371469697
1968,49.031,0.37144697
1966,49.026,0.371409091
1990,49.017,0.371340909
1967,49.007,0.371265152
1965,49.004,0.371242424
1998,49.003,0.371234848
1975,48.99,0.371136364
1993,48.984,0.371090909
1962,48.982,0.371075758
1982,48.981,0.371068182
1966,48.974,0.371015152
1970,48.974,0.371015152
1967,48.963,0.370931818
1968,48.962,0.370924242
1965,48.962,0.370924242
1960,48.96,0.370909091
1975,48.944,0.370787879
1995,48.939,0.37075
1968,48.938,0.370742424
1964,48.915,0.370568182
1981,48.911,0.370537879
1968,48.9,0.370454545
1981,48.9,0.370454545
1968,48.899,0.37044697
1960,48.895,0.370416667
1961,48.892,0.370393939
1968,48.892,0.370393939
1962,48.881,0.370310606
1960,48.878,0.370287879
1969,48.871,0.370234848
1966,48.87,0.370227273
1961,48.864,0.370181818
1962,48.859,0.370143939
